,Name,d,f,m,i
0,Russia,8.329731968935754,0.2768498486555331,1.5517072420206142,0.5925976978576463
1,Canada,3.515372666297434,0.4729366826671213,0.8404597673903662,0.9230812360490801
2,United States,32.70372369087204,0.40265257308810104,0.9876501290429928,0.8606932126442716
3,China,142.4915168970174,0.18237854838416745,0.9506500116255722,0.45821330560352574
4,Brazil,23.988580457474605,0.21590150097660915,1.3742301887558772,0.5297175148677803
5,Australia,2.9389442490976876,0.40393803986055304,1.3625766306503966,0.8878725141657422
6,India,380.7713541630226,0.021570739998712018,0.754176983658672,0.18958283709979118
7,Argentina,15.620732988059272,0.21643084990598843,1.5288306844423012,0.5917311534663726
8,Kazakhstan,6.6634085654519435,0.23902466481196744,1.5420946116901126,0.5837929601398283
9,Algeria,16.602210735760103,0.07839732401103167,0.9432968340682197,0.16438148582958254
10,"Congo, Democratic Republic of the",33.85072187740153,0.0,0.46740077396528806,0.00365353704716802
11,Greenland,0.026653143042335344,0.29792319817089014,1.0531238633017512,0.6945767585263194
12,Saudi Arabia,12.909915383148268,0.1412494726566244,1.898940614541864,0.5837350655707437
13,Mexico,61.972285841552655,0.17332473368839493,0.8395160086708039,0.40661489656756156
14,Indonesia,134.41029125224657,0.11578411113393372,1.2461245429056969,0.1656290928501616
15,Sudan,19.397885235650698,0.011631496575091986,0.7698942971132314,0.2353993354482902
16,Libya,3.644006956363595,0.11073374990018366,1.5752265830871197,0.21834823923979876
17,Iran,49.64477504178814,0.3738499591869258,0.8420484533500879,0.27986806359531224
18,Mongolia,1.9134821202519505,0.07684833613328576,1.0023696017385098,0.17611633902545618
19,Peru,23.688624324627146,0.09952373458773968,1.0412219097133162,0.4040072394155769
20,Chad,9.058766355140188,0.002028980722619765,0.4556609249951167,0.0235482127087099
21,Niger,14.242880031570639,0.0060956251753531265,0.4544011494354149,0.015582634539175447
22,Angola,15.741840859870058,0.014267259294648102,0.7184584144804936,0.1885316406792785
23,Mali,13.671702446072866,0.009436446007958699,1.3859780074189338,0.7313245656167991
24,South Africa,44.02920457062235,0.08011094359643699,1.4811209339341256,0.46203520957945055
25,Colombia,41.036366350282286,0.15405443016892412,1.1832236094918753,0.5199337018201189
26,Ethiopia,90.0713746264602,0.00824403808508328,0.3066380019451707,0.0160859279708942
27,Bolivia,9.831666486130745,0.08147482770388566,0.9721428305577267,0.3610816227785842
28,Mauritania,3.4895721354419327,0.014290869802391191,1.056523448425808,0.11176905954399335
29,Egypt,88.3592750511758,0.07142260124820489,1.0769895409737225,0.47464386905452616
30,Tanzania,53.88565607516098,0.002938532828172114,0.6249279814579363,0.14496761952315762
31,Nigeria,196.5450805830035,0.000991396572420396,0.7655784642579725,0.3668167317955465
32,Venezuela,32.09852530014802,0.2667763375878637,1.04182820696925,0.46455290540268196
33,Namibia,2.6838875058838374,0.08136302963377144,1.2204454445065716,0.14708627690460682
34,Mozambique,31.65342265255573,0.0027190330296513318,0.7271832521160538,0.05532916048709106
35,Pakistan,250.07800199724906,0.024612497944165763,0.6821178001668797,0.10698902167565935
36,Turkey,101.35033220089795,0.15778020949862298,0.905378855782202,0.4608743549600639
37,Chile,23.15594985861696,0.1941940546918997,1.3536467929994185,0.651121242202252
38,Zambia,20.01847683685482,0.007301079112767556,0.6703718094450211,0.15265892690332164
39,Burma,83.24273919636761,0.009410476943212885,0.47229940884804295,0.011482557432407118
40,Afghanistan,49.92769728470018,0.003070843562569144,0.7185773936411797,0.05834602768881374
41,France,103.37630106197412,0.5831375492710661,0.975151428696011,0.8534453181807924
42,Somalia,16.649044862676956,0.005387900583814822,0.5180673638283483,0.014835565418720883
43,Central African Republic,8.654377961552784,0.00014838063862655915,0.2782136974247984,0.033571119489259005
44,Ukraine,73.61357136939773,0.23542931672537806,1.37746407108921,0.3781273920637047
45,Madagascar,40.56391461584455,0.010498607863600072,0.37794988308960253,0.7139053347248048
46,Botswana,3.752116961476974,0.07788451009955931,1.5576902019911862,0.12988387419544156
47,Kenya,79.1314823206695,0.003919408171108122,0.7316228586068494,0.35927908235157785
48,Yemen,50.64192716225226,0.04375906527943697,0.6395555694686943,0.18700455247622638
49,Thailand,132.47662340193327,0.08370551517103618,1.42843682304176,0.28686424355627516
50,Spain,95.26907810119319,0.3965012019448955,1.0551210612258088,0.7373385368802404
51,Turkmenistan,10.717930751895103,0.11851462183704545,1.3762988342366569,0.07919452875336763
52,Cameroon,49.93104913343429,0.044230606079779036,0.728751890647788,0.06318658011397006
53,Papua New Guinea,14.416275602800104,0.02248056892025378,0.5095595621924189,0.024653690582544976
54,Sweden,21.7670993459843,0.3897316524132347,1.2548951111735045,0.8876087371715031
55,Uzbekistan,65.26585158694681,0.08595907485021717,0.7397274967190003,0.40411039172612057
56,Morocco,74.6225484268279,0.07472383914640288,1.3234222113880991,0.5971905216921355
57,Iraq,84.5419388250969,0.05262281699978214,0.8905399799963132,0.07556096799968717
58,Paraguay,16.67667768074896,0.05454594773731615,1.0761768067092106,0.280100812705137
59,Zimbabwe,36.41531949523617,0.023191190776989924,0.8292607611166094,0.1897461063571903
60,Japan,335.8418136353413,0.5011831933774735,1.203123308107848,0.8611747058034563
61,Germany,226.4689795026637,0.5815391042130937,1.2306069942408087,0.8694640371369734
62,"Congo, Republic of the",13.903792397660819,0.003427900629577062,1.0304731953943316,0.018821908364855647
63,Finland,16.196962841384615,0.11685395556117104,1.387640722288906,0.9311799583780817
64,Vietnam,284.8610700160019,0.05893024540260619,1.4425191365637955,0.4250184965187964
65,Malaysia,92.50909664177634,0.14452454505246273,1.4714630550692918,0.3965412687380497
66,Norway,16.082942662491277,0.22274755654571537,1.1329401582928627,0.9409164026500046
67,Cote d'Ivoire,72.2417827781792,0.010302506488218097,0.9486891391234163,0.02667919909344811
68,Poland,123.3259958104802,0.1306979746403919,1.5507418419633803,0.6716423696797917
69,Oman,10.620148626817448,0.11560918740127583,1.8862551628629216,0.6388928777438928
70,Italy,205.26687462666754,0.33255129082281304,1.5229135437777828,0.5981719864095325
71,Philippines,336.6612533333333,0.030594551342092866,1.1019979172734422,0.38812505262460856
72,Ecuador,55.96113710982822,0.15376475353904703,1.0461044707984348,0.3718082155247449
73,Burkina Faso,69.04334792122539,0.006338579670083267,0.6602687156336736,0.0413275394489429
74,New Zealand,16.57910798998917,0.41681752832613067,1.1490645375477115,0.9012270882727149
75,Gabon,6.371110372216224,0.010085988919485662,2.111020936636534,0.09663784732158355
76,Guinea,47.91469024676946,0.0,0.7385297417811402,0.016561741680632236
77,United Kingdom,263.0771396904889,0.5186600433383844,1.224874049400216,0.8940800386067818
78,Uganda,153.92487906471177,0.008624931253233508,0.549839367393636,0.16171746099812825
79,Ghana,110.37319364616216,0.009875549465126946,1.1546796297686892,0.18991441279090282
80,Romania,90.88577169440121,0.21231079531162378,1.0569385244861271,0.516930632063084
81,Laos,29.187263513513514,0.13311063345614235,0.6655531672807118,0.04340564134439425
82,Guyana,3.4201303443752353,0.21762134430144908,0.7710596255280718,0.36750804518907215
83,Belarus,46.193106936416186,0.46925400813311047,1.1887768206038798,0.5213933423701227
84,Kyrgyzstan,28.331636250881466,0.07767073926127006,1.3415854963310285,0.2471341703767684
85,Senegal,71.0435741808237,0.02218114496780657,1.030349959794886,0.21465624162393457
86,Syria,92.1527918781726,0.23381389609310457,0.9141595937474766,0.2812798749992236
87,Cambodia,86.77192808020548,0.02800985641383697,1.5214444733879628,0.052944994498609566
88,Uruguay,18.96486110717022,0.3231701314195278,1.645773817414262,0.5984632063324589
89,Suriname,3.5382309852276888,0.1464719917603035,1.6006680088952838,0.3673013786309613
90,Tunisia,67.46057698184707,0.08607235967374045,1.2956155192994616,0.4530124193354761
91,Nepal,214.3707747603291,0.026623304487722457,0.7353103144228107,0.12043875839683969
92,Bangladesh,1173.3339699162489,0.006451317162169749,0.7126042076378327,0.06747249142085791
93,Tajikistan,57.24638714185884,0.0537112128748707,0.9765675068158308,0.1586922198575725
94,Greece,81.66026053941815,0.48442584818372325,1.1878641488029995,0.5753716970764529
95,Nicaragua,45.31626140983355,0.05755024517250771,1.2017845315435434,0.14304621233907724
96,Malawi,151.62129063839842,0.003573675637279048,0.28389012071842906,0.021570082701645343
97,Eritrea,55.507559523809526,0.009804388658834696,0.06394299728433754,0.008900546579348374
98,Benin,92.77625153167232,0.019141234266982127,1.0336266504170348,0.04220642155869559
99,Honduras,78.03258988312963,0.06059446831955419,0.8803347284161647,0.19435961536460777
100,Liberia,37.6735536819043,0.0023834118349744713,0.7626917871918308,0.04232939418914661
101,Bulgaria,64.81744063348334,0.2504559341568046,1.3775076378624254,0.5704829611349439
102,Cuba,99.50778459318059,0.11421906836582336,0.22662513564647493,0.27195016277576994
103,Guatemala,137.01107549890256,0.11528923622824828,1.1327837745682536,0.1675715642852446
104,Iceland,3.222504854368932,0.5121746937496611,1.1147331569845564,0.9532474888376045
105,"Korea, South",492.53104693140796,0.6002215689009975,1.1646090142855177,0.9141773556192263
106,Hungary,106.3931396998753,0.3041159415252738,1.182111799284287,0.7476604542481814
107,Portugal,117.5514062330329,0.42400637247398665,1.0992757804881135,0.6651080352533124
108,Jordan,90.85943900964831,0.04681207317860383,1.3674052954802698,0.4434827985341415
109,Azerbaijan,112.94203233256351,0.18403440216424458,1.0837581460783292,0.5929997403070103
110,Austria,103.31997949231558,0.3773563132172799,1.5001932941359752,0.8308762859830017
111,United Arab Emirates,69.13588516746411,0.3633368859606627,2.9066950876853017,0.8996913366644982
112,Czech Republic,134.97206689743493,0.177550779992789,1.3151909629095482,0.7703261354184496
113,Serbia,92.63487105351473,0.39850663123394653,1.295843241425071,0.5016167386161564
114,Panama,48.48878281622912,0.16133336833447087,1.6953675994469821,0.4648588579128822
115,Sierra Leone,81.9500696961249,0.0028065529780248602,0.8164517754254139,0.014560056661753215
116,Ireland,69.61855904828312,0.4128933089821669,1.0015728782240683,0.7971702500150747
117,Georgia,70.74929698708752,0.2230682592929223,1.0950623638016186,0.5069733165748234
118,Sri Lanka,336.12998018594726,0.12242961294830097,1.0021090541323894,0.19951492480463862
119,Lithuania,44.172021439509955,0.2045462661119187,1.525429781173631,0.6933771732607413
120,Latvia,30.759185000541887,0.1963049370691673,1.2583649812126108,0.7550189887275665
121,Togo,132.99846790525666,0.008368291695344397,0.6355664578742579,0.04448965205119806
122,Croatia,78.89253277732622,0.3516360258051569,1.007873959314144,0.6495187737802262
123,Bosnia and Herzegovina,75.53284372131179,0.21980551091205064,0.9050815155202085,0.6723462686721549
124,Costa Rica,94.21025440313112,0.18279469828904163,1.4748208611956768,0.4985309953337499
125,Slovakia,111.04368308351178,0.16896151295484851,1.1753844379467724,0.8264421829313243
126,Dominican Republic,215.3021573864804,0.11738034552956476,0.792078754386494,0.47715587613644217
127,Estonia,27.978685769877067,0.3240030977857154,1.659528061829274,0.79025145801394
128,Denmark,129.51926022184063,0.33682683678571884,1.2720587984992573,0.9674813397036605
129,Netherlands,407.96052283176465,0.4207009905177655,1.1564851913251337,0.9558704132381207
130,Switzerland,196.76405746541658,0.538056078494625,1.4159370486700658,0.8741872213528232
131,Bhutan,19.3238266395791,0.0320789735806739,0.846857945409135,0.2737495602619693
132,Guinea-Bissau,47.78325259515571,0.0028965860836418196,0.6372489384012003,0.03249969585846122
133,Taiwan,650.7817120622568,0.5996124043919302,1.298306060791644,0.6875897229850482
134,Moldova,104.77820448435793,0.3439674730824307,1.0431800413155685,0.45110488273105664
135,Belgium,370.9372707023061,0.4150486759373234,1.1215145073200015,0.8389281747669303
136,Lesotho,64.16409158293527,0.026287402429839075,1.0781942402863685,0.052369434528195036
137,Armenia,102.75970816662745,0.18322317040212904,1.1451448150133066,0.42533950271922816
138,Solomon Islands,21.54170127353267,0.012048792791287599,0.6051706992637385,0.0745418647354326
139,Albania,105.37352163628775,0.08252791589282991,1.1223796561424868,0.5611898280712434
140,Equatorial Guinea,26.40700866279277,0.02038493782593963,0.6972728733177364,0.15538452607719547
141,Burundi,385.99626302551206,0.0020200560849488506,0.2978884549233328,0.013451525542631747
142,Haiti,364.325009009009,0.00405538308088244,0.6726001207317217,0.11869413895265676
143,Rwanda,480.74010934771053,0.003917315267981089,0.6081316041019029,0.08687594344312899
144,Macedonia,81.51577023295609,0.18606737070106846,1.0973203913139935,0.5248054045414752
145,Djibouti,35.703620689655175,0.026438929694177642,0.3464827772707298,0.08873339417908935
146,Belize,15.125359226682923,0.06534837593452496,0.49601432482461016,0.26254501697042626
147,El Salvador,291.8753861508483,0.15468911558533546,1.4980419614579856,0.27681210157375824
148,Israel,387.5452094366875,0.36027914925420973,1.180224799281032,0.7454051363880202
149,Slovenia,97.8351501997731,0.38821989581589705,1.1596178706189133,0.7058543560289037
150,New Caledonia,14.622611036339165,0.3258288386134786,0.8950168436941995,0.62257239106824
151,Fiji,49.764091058334245,0.08214306528889177,0.9635040670164253,0.3647503983443829
152,Kuwait,156.50095409136827,0.17571957164588992,2.7254464173648234,0.8606672896941547
153,Swaziland,82.67755125547109,0.030927554988705173,0.6386122165235338,0.23495189859662735
154,Timor-Leste,82.76966518757564,0.0024368134278167125,0.5498263364297109,0.00974725371126685
155,"Bahamas, The",23.385951008645534,0.4313040477884885,0.8419671161470993,0.7615597186665312
156,Montenegro,46.84860990443093,0.24726730987075646,1.545420686692228,0.5898870761104233
157,Puerto Rico,260.93959390862943,0.2278817804903738,0.8892947531331661,0.5558092207082288
158,Vanuatu,22.336861104274345,0.020935562542238415,0.5733405812005994,0.11312549584227073
159,Falkland Islands (Islas Malvinas),0.2761028505709357,0.6248140434394526,1.2496280868789051,0.8628384409401963
160,Qatar,189.43699292249266,0.19135991747831368,1.503542208758179,0.9567995873915685
161,"Gambia, The",174.21062416998672,0.0283578516945341,1.1688720232514056,0.13924823233516745
162,Jamaica,268.4205258848148,0.08473973039207379,0.9829808725480559,0.5084383823524427
163,Lebanon,594.6827884615385,0.15683862485833996,0.7114329375017483,0.6467572159106802
164,Cyprus,128.54794076316074,0.277498177341517,0.9249939244717233,0.6213436461746876
165,West Bank,475.3184300341297,0.14360769823427155,1.1488615858741724,0.5026269438199504
166,Brunei,74.5266261925412,0.11218538052256974,1.0841483453820122,0.6451823128808368
167,Trinidad and Tobago,238.3703198127925,0.23724540091609447,1.636175178731686,0.638026510946421
168,French Polynesia,67.84329253659708,0.19455046462188233,0.8478862976339127,0.5698559972833681
169,Cabo Verde,135.3813538308951,0.10714423078684158,1.1234576267461305,0.3917632643641951
170,Samoa,69.8597668668315,0.05966436267842425,0.5384961546823884,0.13955393304444996
171,Luxembourg,220.51508120649652,0.47347488478777805,1.3965755490555052,0.930115107005324
172,Comoros,349.42774049217,0.030090746007214095,0.4904151370537446,0.06427895530051692
173,Mauritius,656.7779411764706,0.27615505583929867,1.26882052682921,0.06097802178938027
174,Virgin Islands,54.227225130890055,0.7347403788595593,0.7752910962210593,0.2896479811535714
175,Faroe Islands,36.034458004307254,0.344648976014025,1.2232050362578692,0.8765638696310463
176,Hong Kong,6445.041516245487,0.6203520855172854,2.436597356207848,0.7841922525726407
177,Sao Tome and Principe,201.25103734439833,0.035050462356834323,0.6623506489490015,0.24226054864282548
178,Kiribati,130.34648581997533,0.08702973200518395,0.1712215379667206,0.11540899244165698
179,Bahrain,1771.8592105263158,0.2079290783617862,1.7079888579718152,0.9653850066797216
180,Dominica,98.01198402130493,0.23910769356175363,1.252598258317823,0.5896178352602334
181,Tonga,142.57161981258366,0.11267499835682294,0.63849165735533,0.3793391611346372
182,"Micronesia, Federated States of",149.8803418803419,0.06652980535279805,0.29843369829683697,0.2841773114355231
183,Singapore,8141.279770444763,0.34540658584622497,1.5331822943174271,0.7930253246469451
184,Saint Lucia,266.10714285714283,0.2000951672136748,1.1493271189956198,0.8717560791107966
185,Guam,297.39889705882354,0.41660228080477174,0.605742188707235,0.6663164075779584
186,Andorra,182.86324786324786,0.4463659733582613,0.7735452208459921,0.8915634494040664
187,Seychelles,203.14285714285714,0.22936276100833064,1.6369144217245484,0.5333766093259764
188,Antigua and Barbuda,208.6591422121896,0.3505127872257562,1.1802760829114198,0.8860184343762171
189,Barbados,675.8232558139534,0.5161663294379981,1.0512587576220562,0.7825081554280051
190,Saint Vincent and the Grenadines,263.82262210796915,0.23288218500004873,1.120562814853791,0.740545860251201
191,Grenada,321.7848837209302,0.2583699206822411,1.2150613402713788,0.44808210020416644
192,Malta,1310.01582278481,0.5556025267836653,1.3194352179532085,0.4010000845482106
193,Maldives,1319.6409395973155,0.054672183047554626,1.6930576499098544,0.04729779556672168
194,Cayman Islands,212.46969696969697,0.586536404478357,1.6241175212151466,0.7772944448406189
195,Saint Kitts and Nevis,198.98850574712642,0.3677603203943315,1.4748921749845965,0.3273259396179914
196,Cook Islands,41.686440677966104,0.7318560683065664,0.7928440739987802,0.06850985972758691
197,Marshall Islands,398.8453038674033,0.033245141361111494,0.21470820462384507,0.023548641797453976
198,Aruba,623.1222222222223,0.31204864392575027,1.2455198730407804,0.7819047449225228
199,Liechtenstein,235.15,0.4784180310440145,1.0312566446948757,0.9169678928343611
200,British Virgin Islands,221.5496688741722,0.35272314222514495,1.4467627189573744,0.11956716685598134
201,Jersey,838.7413793103449,0.8623347791230703,0.8623347791230703,0.30320471971550145
202,Montserrat,51.38235294117647,0.5914901736309864,0.8586147681740126,0.2289639381797367
203,Anguilla,180.41758241758242,0.35936167620903886,1.5836277256669509,0.22536240711414302
204,Guernsey,847.1794871794872,0.6825060532687651,0.6628329297820823,0.7309322033898306
205,San Marino,541.311475409836,0.5632949727437916,1.1387038158691702,0.5208964264082374
206,Bermuda,1299.9259259259259,0.4159781184113055,0.8476266453928999,0.9729899139552112
207,Macau,21168.964285714286,0.2699369528504499,2.6993695285044987,0.4558560291261972
208,Tuvalu,418.03846153846155,0.1380071763731714,0.34961818014536755,0.3772196154200018
209,Gibraltar,4179.714285714285,0.7997812564085036,1.2987900745095358,0.6904094606603323
210,Monaco,15267.5,1.657114786310791,1.1036515474046176,0.897330931717701
